feature,category,cohort_mean,cohort_std,cohort_median,cohort_q25,cohort_q75,cohort_iqr,c0_n,c0_mean,c0_std,c0_median,c0_q25,c0_q75,c0_zscore,c1_n,c1_mean,c1_std,c1_median,c1_q25,c1_q75,c1_zscore,c2_n,c2_mean,c2_std,c2_median,c2_q25,c2_q75,c2_zscore
LBXSCR,primary,0.8295346432264737,0.19473475773214702,0.82,0.68,0.94,0.2599999999999999,365,0.7071780821917808,0.13133291127597846,0.7,0.62,0.79,-0.6283242008752822,261,0.8145210727969348,0.18294035528742922,0.81,0.68,0.92,-0.07709753823295273,341,0.9719941348973606,0.1645729231201868,0.95,0.86,1.07,0.7315565712559465
LBXSUA,primary,5.317373319544985,1.4559395478911559,5.1,4.2,6.3,2.0999999999999996,365,4.314246575342466,0.9824922304983449,4.2,3.6,4.9,-0.6889892823197846,261,5.795402298850575,1.3525964813569906,5.7,4.9,6.7,0.32833023870942096,341,6.025219941348975,1.3534955925789283,5.9,5.1,6.8,0.4861785798931449
LBXSBU,primary,13.348500517063082,3.987240950748636,13.0,11.0,16.0,5.0,365,12.145205479452056,3.3030555740472516,12.0,10.0,14.0,-0.3017863862441265,261,13.662835249042146,3.998234948033421,13.0,11.0,16.0,0.07883514837999588,341,14.395894428152493,4.305111275531005,14.0,12.0,17.0,0.26268638490301294
LBXSCA,primary,9.216752843846947,0.33506064456747237,9.2,9.0,9.4,0.40000000000000036,365,9.125753424657535,0.32292413037526946,9.1,8.9,9.3,-0.27159089157391997,261,9.138697318007663,0.32498021885435635,9.1,8.9,9.3,-0.23295939736535,341,9.373900293255131,0.2970329384090489,9.4,9.1,9.5,0.46901195934558154
LBXSPH,primary,3.500827300930714,0.5398406119339527,3.5,3.1,3.8,0.6999999999999997,365,3.56986301369863,0.4616873411340409,3.5,3.2,3.9,0.12788165847804434,261,3.3831417624521074,0.5288078891925372,3.3,3.0,3.7,-0.21800052807624773,341,3.5170087976539595,0.6082311600370535,3.5,3.1,3.8,0.02997458206279854
LBXSNASI,primary,140.05894519131334,2.46163946700625,140.0,138.0,142.0,4.0,365,139.9972602739726,2.3586392870608544,140.0,138.0,141.0,-0.025058469433684474,261,139.84674329501917,2.674573820688191,140.0,138.0,142.0,-0.08620348314135817,341,140.2873900293255,2.3873661201305807,140.0,139.0,142.0,0.09280190745803718
LBXSKSI,primary,4.059152016546019,0.3406492775321797,4.1,3.8,4.3,0.5,365,4.00958904109589,0.3197545347871319,4.0,3.8,4.2,-0.14549561299288694,261,4.074712643678161,0.357195827826202,4.1,3.9,4.3,0.045679319342377026,341,4.100293255131965,0.3437251410240745,4.1,3.9,4.3,0.1207730099532055
DXDTOBMD,primary,1.1165222337125131,0.10477973185217475,1.112,1.049,1.182,0.133,365,1.0679534246575342,0.09206624180297042,1.067,1.012,1.129,-0.4635324809143505,261,1.1344137931034481,0.09696917254675935,1.123,1.076,1.206,0.1707540100997468,341,1.1548152492668622,0.10333852650823683,1.149,1.089,1.211,0.3654620495533771
DXDTOPF,primary,33.515615305067215,8.569700476784153,33.3,27.1,40.6,13.5,365,37.36493150684932,6.241823469853364,38.1,33.6,41.7,0.44917744934144865,261,38.6176245210728,6.998164299740728,38.4,32.8,45.0,0.5953544385626127,341,25.49032258064516,5.386109057379792,25.5,22.1,28.8,-0.9364729544705872
DXDTOLE,primary,51134.64850051706,12033.113697729255,50813.7,41644.3,59023.350000000006,17379.050000000003,365,40348.42931506849,6457.2940732091465,40078.1,35459.3,44257.3,-0.8963780660930692,261,59911.899233716475,10652.429894557436,58986.9,51496.3,66219.8,0.7294247319258481,341,55961.94340175953,8518.688355226037,55459.3,50511.3,61085.2,0.4011675633176652
