matrix_name,N,number_of_features,K,resampling_fraction,number_of_resamples,mean_ARI,median_ARI,SD_ARI,min_ARI,max_ARI,ARI_5th_percentile,ARI_25th_percentile,ARI_75th_percentile,ARI_95th_percentile,mean_Jaccard_overall,median_Jaccard_overall,pac_01_09,min_cluster_proportion,max_cluster_proportion,max_min_cluster_ratio,sd_cluster_proportions,normalized_entropy,seed_reference,seed_base_resample,sklearn_version
B_RAW,967,24,2,0.8,200,0.7554731234970926,0.9513563613998854,0.3372632976357531,0.005340594130464527,1.0,0.053512683387624355,0.627206531633233,0.9845034512651984,0.9948230260562696,0.8630519885690825,0.9735858194498257,0.5114963570069005,0.4270941054808687,0.5729058945191313,1.341404358353511,0.07290589451913132,0.9846085611857541,42,10000,1.4.1.post1
B_RAW,967,24,3,0.8,200,0.876965095634247,0.936034090830073,0.11968714585110489,0.4765584311974484,0.9964066978159856,0.6412985841442738,0.8170943310405708,0.966888130439074,0.981728143736471,0.9125953952983601,0.9560790762079028,0.18750655695936932,0.26990692864529475,0.37745604963805585,1.3984674329501914,0.04597954360712324,0.9910741742245772,42,10000,1.4.1.post1
B_RAW,967,24,4,0.8,200,0.7965391781993904,0.8015636711830725,0.10299980977138368,0.5773539893698595,0.9773474055120329,0.635464511974979,0.7093823353141844,0.885458474466219,0.9466746195269861,0.8213158258835483,0.8610394793393503,0.24267922177188847,0.15201654601861428,0.30713547052740436,2.0204081632653064,0.0609931740295167,0.9767344356453942,42,10000,1.4.1.post1
B_RAW,967,24,5,0.8,200,0.7203984442043224,0.7823374433566104,0.16683921863544626,0.3867635991919625,0.9588807176562052,0.4750419077763805,0.5421164004788582,0.8664686030410413,0.929789763901955,0.7713160377711293,0.8382144878324844,0.2798756479346381,0.038262668045501554,0.2823164426059979,7.378378378378377,0.08512711508243102,0.9247193923700978,42,10000,1.4.1.post1
B_RAW,967,24,6,0.8,200,0.5727317386528431,0.5583485236310776,0.1121164826538074,0.3918847763659608,0.946675270297279,0.4257112508577734,0.4824664861833724,0.63231838093465,0.7688176764707534,0.6543408779746653,0.6570499515704995,0.3395166798341116,0.03722854188210962,0.2419855222337125,6.499999999999999,0.07416065861828923,0.9329333519408803,42,10000,1.4.1.post1
B_RAW,967,24,7,0.8,200,0.5184347735183923,0.4821906530158174,0.12091587587959023,0.31303086218540943,0.8818877697245237,0.3696634555295128,0.43074359686295155,0.5809271145389644,0.762680668957508,0.6062050814802379,0.5905401086609141,0.3172198064064437,0.038262668045501554,0.20372285418821096,5.324324324324324,0.05196692650553236,0.9588073166621973,42,10000,1.4.1.post1
B_RAW,967,24,8,0.8,200,0.5146617413313939,0.48855870692969794,0.10646425936252797,0.31592995873440494,0.8919467080310969,0.37169706197385144,0.4382475919471936,0.5855325019193414,0.6887757978158756,0.5905630771064253,0.562312925170068,0.2950471137603011,0.03619441571871768,0.17890382626680454,4.942857142857142,0.04073800039149149,0.9693386599937147,42,10000,1.4.1.post1
B_RAW,967,24,9,0.8,200,0.5069578117836798,0.4928265570919277,0.09554775147019151,0.3250911263189678,0.7269760587463736,0.37149254399732823,0.43242225933466527,0.5770708926512693,0.6857990774907826,0.5660673772814628,0.5391647578534031,0.2896088519486748,0.02481902792140641,0.18614270941054809,7.5,0.05040323119772231,0.9443697978442356,42,10000,1.4.1.post1
B_RAW,967,24,10,0.8,200,0.4991883366512251,0.4864059869317919,0.10182358423272733,0.2815297163419377,0.835815363450787,0.35968115825317637,0.42137400074724174,0.5671541066047282,0.6823554780968293,0.54527102423478,0.5418010752688172,0.27330477175358253,0.02688728024819028,0.16132368148914167,5.999999999999999,0.04761036443508221,0.9433172339755505,42,10000,1.4.1.post1
B_LOG,967,24,2,0.8,200,0.8424433485520049,0.903973962865765,0.1229338266828514,0.5604659917980114,1.0,0.6240556630364648,0.7176300648393147,0.9387890692896738,0.9845162083267808,0.9205871946650587,0.95128173097785,0.22538597742050825,0.47776628748707345,0.5222337125129266,1.093073593073593,0.02223371251292658,0.9985731716774691,42,10000,1.4.1.post1
B_LOG,967,24,3,0.8,200,0.7833111408444496,0.9134498920651877,0.23722673078926565,0.2483044961822525,0.9922684896007874,0.2823794461128902,0.6025007049655852,0.9543087928639711,0.9731558209776998,0.8406503142220416,0.9429310344827586,0.3219600865839794,0.29782833505687695,0.36608066184074456,1.2291666666666665,0.027932043543444175,0.9967854079725177,42,10000,1.4.1.post1
B_LOG,967,24,4,0.8,200,0.7936558109896724,0.7902229223734085,0.08563547497211532,0.6077661413575468,0.9622244007770681,0.657702351398557,0.7232004089439793,0.8648578127007454,0.9281213176674701,0.8395783279244128,0.8426249103514224,0.22627665337075886,0.20268872802481902,0.28335056876938985,1.3979591836734693,0.030540662590923928,0.9944710958118174,42,10000,1.4.1.post1
B_LOG,967,24,5,0.8,200,0.6937428728690445,0.6753981028652143,0.16820399597690744,0.391788345330181,0.9520848221907194,0.4624310830295703,0.5332024330105603,0.8631846042977984,0.9302429321744925,0.7128122002526633,0.7863751739949234,0.2881443751458589,0.04446742502585315,0.2564632885211996,5.767441860465117,0.07868769198916926,0.9351261786431555,42,10000,1.4.1.post1
B_LOG,967,24,6,0.8,200,0.6544796259677065,0.6583083231688621,0.12975590106924043,0.3855865351941126,0.9307297413438531,0.47274586590384604,0.5456076189006177,0.756382947404749,0.8625229918931623,0.7065039195695565,0.764375413086583,0.30663446530538835,0.04239917269906929,0.23888314374353672,5.634146341463415,0.06651293004638908,0.9454772771058008,42,10000,1.4.1.post1
B_LOG,967,24,7,0.8,200,0.5866398061063266,0.5559384979786749,0.13933225520161294,0.33531883379829286,0.9561768077516141,0.39002515227694495,0.4943167472058775,0.6645547031963924,0.8855835060245137,0.6507013043572675,0.6719738594738596,0.29232584180653065,0.04136504653567735,0.21923474663908996,5.3,0.052163523134387664,0.9602058121047538,42,10000,1.4.1.post1
B_LOG,967,24,8,0.8,200,0.5922555514674676,0.5896531593514556,0.12151877377855008,0.3375204199107574,0.9359181344789641,0.40544341979544396,0.49382166861321986,0.683211004616677,0.796312476988509,0.6643160616743441,0.6941609977324263,0.2552557374732637,0.04033092037228542,0.15201654601861428,3.7692307692307696,0.03412395992698289,0.9773087061901049,42,10000,1.4.1.post1
B_LOG,967,24,9,0.8,200,0.5113764454633564,0.5007760321332821,0.07783861688801084,0.33550699894151914,0.7835347960557081,0.40123898900733124,0.45767053165146976,0.5627054731533706,0.641126068183889,0.5880670291513762,0.5714285714285714,0.24545616097254963,0.038262668045501554,0.1499482936918304,3.918918918918919,0.03255667979038914,0.9772264715129519,42,10000,1.4.1.post1
B_LOG,967,24,10,0.8,200,0.5133435420544428,0.5088634745820315,0.08030145144346369,0.3415954318259134,0.7529917045369579,0.38456084447070893,0.4636507842724076,0.5625332221194548,0.6509758725651976,0.5731677935700115,0.5759222661396575,0.23483442205621963,0.04033092037228542,0.1437435367114788,3.5641025641025643,0.03201802235332366,0.9755580639056975,42,10000,1.4.1.post1
