matrix,config_1,config_2,ari_full_cohort,n_both_non_noise,ari_non_noise_overlap
B_LOG,mcs3_ms2,mcs5_ms5,-0.0654,63,0.0
B_LOG,mcs3_ms2,mcs7_ms2,-0.0906,189,0.0
B_LOG,mcs3_ms2,mcs7_ms3,-0.0853,126,0.0
B_LOG,mcs3_ms2,mcs7_ms5,-0.0654,63,0.0
B_LOG,mcs3_ms2,mcs10_ms2,-0.0897,182,0.0
B_LOG,mcs3_ms2,mcs10_ms3,-0.0853,126,0.0
B_LOG,mcs3_ms2,mcs10_ms5,-0.0654,63,0.0
B_LOG,mcs3_ms3,mcs3_ms5,0.0052,65,0.0
B_LOG,mcs3_ms3,mcs5_ms2,0.6191,499,0.8861
B_LOG,mcs3_ms3,mcs5_ms3,1.0,499,1.0
B_LOG,mcs3_ms3,mcs5_ms5,0.0052,63,0.0
B_LOG,mcs3_ms3,mcs7_ms2,0.0845,186,0.0
B_LOG,mcs3_ms3,mcs7_ms3,0.0362,126,0.0
B_LOG,mcs3_ms3,mcs7_ms5,0.0052,63,0.0
B_LOG,mcs3_ms3,mcs10_ms2,0.0799,179,0.0
B_LOG,mcs3_ms3,mcs10_ms3,0.0362,126,0.0
B_LOG,mcs3_ms3,mcs10_ms5,0.0052,63,0.0
B_LOG,mcs3_ms5,mcs5_ms2,-0.04,65,0.0
B_LOG,mcs3_ms5,mcs5_ms3,0.0052,65,0.0
B_LOG,mcs3_ms5,mcs5_ms5,0.9467,61,0.9558
B_LOG,mcs3_ms5,mcs7_ms2,0.4055,65,0.9538
B_LOG,mcs3_ms5,mcs7_ms3,0.5911,63,0.9158
B_LOG,mcs3_ms5,mcs7_ms5,0.9467,61,0.9558
B_LOG,mcs3_ms5,mcs10_ms2,0.4141,64,0.9642
B_LOG,mcs3_ms5,mcs10_ms3,0.5911,63,0.9158
B_LOG,mcs3_ms5,mcs10_ms5,0.9467,61,0.9558
B_LOG,mcs5_ms2,mcs5_ms3,0.6191,499,0.8861
B_LOG,mcs5_ms2,mcs5_ms5,-0.0386,63,0.0
B_LOG,mcs5_ms2,mcs7_ms2,-0.0412,189,0.0
B_LOG,mcs5_ms2,mcs7_ms3,-0.0515,126,0.0
B_LOG,mcs5_ms2,mcs7_ms5,-0.0386,63,0.0
B_LOG,mcs5_ms2,mcs10_ms2,-0.041,182,0.0
B_LOG,mcs5_ms2,mcs10_ms3,-0.0515,126,0.0
B_LOG,mcs5_ms2,mcs10_ms5,-0.0386,63,0.0
B_LOG,mcs5_ms3,mcs5_ms5,0.0052,63,0.0
B_LOG,mcs5_ms3,mcs7_ms2,0.0845,186,0.0
B_LOG,mcs5_ms3,mcs7_ms3,0.0362,126,0.0
B_LOG,mcs5_ms3,mcs7_ms5,0.0052,63,0.0
B_LOG,mcs5_ms3,mcs10_ms2,0.0799,179,0.0
B_LOG,mcs5_ms3,mcs10_ms3,0.0362,126,0.0
B_LOG,mcs5_ms3,mcs10_ms5,0.0052,63,0.0
B_LOG,mcs5_ms5,mcs7_ms2,0.3929,63,0.9281
B_LOG,mcs5_ms5,mcs7_ms3,0.5762,61,1.0
B_LOG,mcs5_ms5,mcs7_ms5,1.0,63,1.0
B_LOG,mcs5_ms5,mcs10_ms2,0.4011,62,0.9435
B_LOG,mcs5_ms5,mcs10_ms3,0.5762,61,1.0
B_LOG,mcs5_ms5,mcs10_ms5,1.0,63,1.0
B_LOG,mcs7_ms2,mcs7_ms3,0.6513,118,0.8732
B_LOG,mcs7_ms2,mcs7_ms5,0.3929,63,0.9281
B_LOG,mcs7_ms2,mcs10_ms2,0.9735,182,1.0
B_LOG,mcs7_ms2,mcs10_ms3,0.6513,118,0.8732
B_LOG,mcs7_ms2,mcs10_ms5,0.3929,63,0.9281
B_LOG,mcs7_ms3,mcs7_ms5,0.5762,61,1.0
B_LOG,mcs7_ms3,mcs10_ms2,0.6741,118,0.8732
B_LOG,mcs7_ms3,mcs10_ms3,1.0,126,1.0
B_LOG,mcs7_ms3,mcs10_ms5,0.5762,61,1.0
B_LOG,mcs7_ms5,mcs10_ms2,0.4011,62,0.9435
B_LOG,mcs7_ms5,mcs10_ms3,0.5762,61,1.0
B_LOG,mcs7_ms5,mcs10_ms5,1.0,63,1.0
B_LOG,mcs10_ms2,mcs10_ms3,0.6741,118,0.8732
B_LOG,mcs10_ms2,mcs10_ms5,0.4011,62,0.9435
B_LOG,mcs10_ms3,mcs10_ms5,0.5762,61,1.0
