,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
LBDHDD,-0.2614774417103229,0.039367088467175966,0.09183740237529753,0.3049584050869477,-0.1284933306574143,-0.11363176153050508,0.31650706594338607,-0.2262813382477532,0.20322395247632144,0.1747630936696539,-0.2831497444344774,0.23672552771961164,0.19278058448120017,0.12374018601471878,-0.0074949365496552525,0.18963531629924069,0.09571854631203161,0.051468336645954425,0.15573729229989422,-0.30824876357824504,-0.4485200371462809,0.13790051485714494,0.004789648233388705,-0.001621748812773563
LBXSTR,0.28925671366611505,-0.0267891558191388,0.21255100738266014,-0.08044467524202353,0.31593636417824944,0.3029140110873414,-0.2076282301109597,0.08098895866300784,-0.07108543042378337,-0.21596013402196035,0.059216132009634104,0.037062575262852115,-0.11123877411659312,-0.135399092070887,-0.18341841012768684,-0.11515783288711941,-0.007599720197245868,0.09195368496031583,0.11243629528100796,-0.06659758075408197,-0.6387949573372942,0.2259674731579141,-0.039946720886949116,-0.04725556114822661
LBXSATSI,0.23095217215437247,-0.1927354284766866,0.11338810052337607,-0.022071748319193223,0.12273672548803734,-0.19059579809964114,-0.09976817723644453,-0.1971575455398201,0.05406782115758431,0.04797913492880625,0.15997434285043172,0.1958112786705937,0.6428891488263343,0.320929648931245,0.026685505095641264,-0.23954624122801013,-0.03662050930790251,0.1586730504938127,-0.1517496013228917,0.2924282364924692,0.0036876371242833958,0.12914643037874976,-0.025379253175321526,0.0011696501347837791
LBXSAL,-0.1023958982861857,-0.3748901343966768,0.20645278001141157,-0.21095930021389558,-0.08673737186879649,-0.13933586044404303,-0.03681177673185971,-0.06258890697843833,-0.0762618360349903,0.01427658910220406,-0.04828754777152247,-0.10533127470858254,-0.1866635179943214,0.15591583969749914,0.07579599390898627,-0.38038276292025247,-0.20051668470353096,0.04902067517866352,-0.05985511515245251,-0.567792538060446,0.16903840569022402,0.32115754011274483,0.010426638504670765,0.01394907522835568
LBXSTP,0.026206574542645696,-0.21536103822199598,0.3722448834886599,-0.21348180471886063,-0.2079659796420775,-0.13821318335843494,0.16714760221928981,-0.04037593838186638,-0.014621494577041087,-0.13551771831908652,-0.024863176085654463,-0.4019982810649361,0.12319458158061605,0.07787600564909314,-0.4184291454423977,0.3451813730419956,-0.15288818029538398,-0.3433992795031674,0.04831874616327788,0.17448901236438066,-0.0753603038501148,-0.005747238222283288,0.028283806505201303,-0.0023095854466105613
LBXSTB,-0.02252853395581842,-0.2687646789726531,0.03833661398263773,-0.003245445758357714,-0.16603547131564023,-0.2604196101917399,-0.20617441694348929,-0.3610392062139179,-0.01117860714198155,0.05529638002115671,0.33381943200586567,0.46810530766192804,-0.2293793080451091,-0.39521292624293003,-0.22313774540427056,0.05984987118942984,0.18100267593580638,-0.12632921744062856,0.09105164647060064,0.052169625562440335,0.04017679213256727,0.0024156438741735745,-0.009728814471537728,-0.012862129161848954
LBXSCR,0.07673956457118081,-0.3662965023596006,-0.2501916511575177,0.10079741554492339,0.023122581113388302,0.18293948112317143,0.09552692161661465,0.1488680896255326,-0.1540815271926991,0.14382380251823165,-0.23621434811854025,0.10218337467656012,0.007981001991969064,-0.09760455831750481,0.24429171594832616,0.08812275581542382,0.045975888212878756,-0.462434997639438,-0.08972999007607738,0.23507744972366595,-0.0030267573146873484,0.5031249273697008,-0.03477398663460927,0.02383228632628248
LBXSUA,0.2269496821773056,-0.2867134555133765,-0.06528880093019836,-0.08201750497384937,0.07809577118796401,0.09253387524583362,0.09751972857066626,-0.07168647586526779,-0.35430575527930624,0.056503769056361994,-0.049938082201100825,0.05702905153747365,0.04284098771115574,-0.06736600479757736,0.04573260923403611,0.5882392219037081,-0.06668818145181182,0.510168771569915,-0.1664014464737266,-0.17861690325234775,0.093394857400257,-0.06296479956345195,0.000661617093086625,-0.005190238449993161
LBXSBU,0.08698776074702441,-0.17508245125648422,-0.09224114745864542,0.02883384067944293,0.2798760802259254,0.18464803933864513,0.13354597819904415,-0.10295791607329707,0.1912229851483563,0.741123432050763,0.11857349794678539,-0.2561608845147906,-0.13510755267534194,0.039415369475776514,-0.3042278745997492,-0.12323810608306429,0.03265766716089348,0.03733028494190059,0.0673096960337831,0.026692049641368575,0.009540890909230198,-0.10306477654676575,-0.007570744445224419,-0.006865945111247905
LBXSCA,-0.03530677047028059,-0.31244302105668365,0.2817902701650959,-0.22801503022675043,-0.0663398726195832,-0.06036468833729567,0.27360634180469956,0.05334162216914553,0.14059979281931675,-0.03701007652900922,-0.2158851566964915,0.023137089005603552,-0.29781412521534006,0.006963974225444105,0.3257798826646689,-0.16760239257772525,0.32054551039474244,0.23284715703324044,-0.06553685785866882,0.3689585401324929,-0.1688274823119803,-0.25689026040571433,-0.02787624017686606,0.00870708497570672
