,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
LBXTC,0.08331883720886439,-0.03134444204343913,0.332258946246441,0.2405636876728297,0.32708232330726456,0.14921918815212334,0.25839713021187766,-0.34585136588059934,0.10605544148502433,-0.18787204834426618,-0.17308458735314075,0.2590787531178986,0.2841158799277133,0.03966851306239801,0.06156772012962937,0.12440431638070186,-0.1293417183350321,-0.12308081610625446,-0.30995785392570435,0.10781603659054327,-0.3495578609594122,0.02747290633633958,-0.02147907133392809,0.0027963997825230288
LBDHDD,-0.2646735824023332,0.03976418068645559,0.09695870601826745,0.2890221202661758,-0.1717814243308316,-0.1621431149170214,0.23669045368377417,-0.06402977575359874,0.21213504742159175,0.2742096831452027,-0.0993760641371676,0.37832324571656956,0.1813529009930961,0.0569239787694326,0.1337928925690606,0.14665553326511827,0.12993407814810534,-0.0025419234753020197,0.5544528374254155,-0.18249019015119627,0.11159443284277043,-0.014517585506823399,0.019890760214506004,0.010340519408016297
LBXSTR,0.24081823031744043,-0.03305568694467386,0.20879474445123114,-0.06500330061911226,0.3926317575703985,0.3598938932179352,-0.10840855053880018,-0.03536817896305883,-0.03225974159843515,-0.2551783891077036,0.010149209184141727,-0.17582101944645406,0.09942634878106837,-0.08091883176942652,-0.08201390520340618,0.23873026028644062,-0.12630444505403088,0.0403487284452253,0.4869253151935327,-0.12763210594774255,0.3840110822030245,-0.01638952236899892,0.0012557889422633584,-0.019499404493642004
LBXSATSI,0.20415590522168775,-0.14808373871971123,0.12703558528739475,-0.04618594481292369,0.07565395642904098,-0.20414750724887418,-0.20925522879844918,-0.16542128136959372,-0.004126857145933971,0.0719612116649159,0.4363747204520026,0.614016598054581,-0.15601213173877168,-0.0882388699811448,-0.34359866772203446,-0.0359716467371269,-0.06571507271981791,0.11305773188875136,-0.10166504730109449,0.010526539740880556,0.20582560304510744,-0.07221331939043531,-0.018034931196311457,0.0016698129181510618
LBXSAL,-0.11244854058109571,-0.3839728851510887,0.1903148244648668,-0.2041553525473191,-0.07623000986457097,-0.11591813961853953,-0.08105728730218748,-0.06509799534918861,-0.05571785123921559,0.0029968192779048324,-0.1129275695375551,-0.12837060587158222,-0.034840881462288496,0.19775079052546876,-0.2806735713530514,-0.10113413747727654,-0.25468495498602617,-0.06021993801003835,0.22440742896955046,-0.30010665458027114,-0.42710466127825236,-0.422879842481299,0.007906814991970934,0.008542393646889846
LBXSTP,0.0188481462445473,-0.22148332199709272,0.3731826853127702,-0.23578659425380505,-0.1805349769352494,-0.1915187426482491,0.08563281252043792,-0.02686035706038589,0.04258876563248321,-0.13681287652238952,-0.0607681814709959,-0.06285478332348429,-0.3758657042838833,0.09467585924700754,0.12095295509406923,0.4676176362470093,0.3127037843895813,-0.34817996395432277,-0.08652324142631747,0.12973147056117457,0.14383534913523327,0.0410636058716836,0.031434583630594246,-0.0007600254924549224
LBXSTB,-0.019663401245118922,-0.2591906389325358,0.03953946315839044,-0.015036140074736143,-0.20694984797905971,-0.1241953968479769,-0.2922322149435678,-0.2588968539401994,0.028475260389204293,0.2400777916605095,0.3068440054777546,-0.29305893690090146,0.5440544452891805,-0.24335674296560586,0.21508244566559065,0.2246425105843735,-0.09216057507441139,-0.03931831825122977,-0.08755021555789308,0.09941511435111447,0.03814353031543501,-0.012230905634421016,-0.013411631299918375,-0.012821498895784858
LBXSCR,0.10078225754816389,-0.3685259944715995,-0.2408669521632043,0.1136390882896515,0.03711298061381669,0.11610942746843375,0.17767461735302748,0.11195562531637641,-0.16976529406236243,0.04427778542832257,-0.20027832235771828,0.13681355975382137,0.12563260223947223,-0.10876238058487468,0.1165089932179053,-0.22414885904486523,0.051375747580555256,-0.39973273663637515,-0.13598956940156526,0.03734996379197021,0.38645005874986516,-0.4584661306485222,-0.023750135974477074,0.026208307972458607
LBXSUA,0.24004439332175292,-0.2871712335013498,-0.06570041047022099,-0.06576213194892087,0.08701009720935031,-0.05696077286995778,0.14420476885342196,-0.13393838137616584,-0.3174679516088797,-0.05418422459489339,-0.045966014094743865,0.011769516967442363,0.07083456268092354,-0.1122040983920373,0.14932061806649774,-0.020242189013262985,0.59151325151496,0.4807670552257639,0.040221920474925614,-0.19699663056165018,-0.18378021610926584,0.011399365837276448,-0.00428009229196194,-0.00772445935173692
LBXSBU,0.09889250398114952,-0.17505713188764654,-0.09979214014612474,0.05579656511847201,0.3042725522725542,0.14308026848347843,0.23324442658622965,0.011712241105146268,-0.07001994943921956,0.7400912197129746,-0.010447765256431879,-0.15636134820840542,-0.23259287300340634,0.10621443946746499,-0.15180713477547206,0.2738296875434538,-0.11442338249179906,0.052192261456484194,-0.054304098938211434,0.0789020936546343,-0.04096286406285092,0.10667005034963652,-0.01376465201863948,-0.00822360723034713
LBXSCA,-0.041178280267917526,-0.32187089952162556,0.2731405599390253,-0.23423065231919535,-0.035055619953027715,-0.15064181763453077,0.20586249040920446,0.07411929890397755,0.18897041825136776,0.019851289370328477,-0.23321686846153838,-0.05039906247261673,0.1400118959659155,0.1745640535648553,0.05041513744339298,-0.3497316832209307,-0.2365314630843456,0.33666207972380924,-0.11145086229040428,0.07305855663743516,0.3598839597979448,0.3288213805693023,-0.025985689819551988,0.010598153567046967
LBXSPH,-0.08787782948901454,-0.05175758656090443,0.07373705325848151,-0.11630587279901322,0.08161814957031754,0.0035190375498999906,0.5871123821959477,0.34041574319931867,0.1899367296001976,-0.11854409780863252,0.5752195129939166,-0.12142330013085433,0.09065270588314564,-0.24821463027376467,-0.08024764220794754,-0.05827522976955303,0.03089723664529447,-0.07250586158013858,0.027120906788284868,-0.0462779928378193,-0.12388191282932413,-0.05559333485572942,0.01951069197561761,-0.0074749218107504935
LBXSNASI,-0.00707312263931136,-0.02194604394298958,-0.24221722267653734,0.07480301584952542,0.3609295000669918,-0.494427166084106,-0.0823200271706031,0.25308281834440904,-0.013575995924335832,-0.1439650823390825,-0.0041245091049138365,-0.06224040797118501,0.36215414976968396,0.41856475883007266,-0.2742012913993733,0.1905903099829754,0.16128908111212945,-0.09976432409187225,-0.0162691999378009,0.07221837147893892,0.044063963385309955,0.059742026783346024,0.004130654678213129,-0.002921637884686325
LBXSKSI,0.029322539101177745,-0.06367070376824231,-0.1716892741568409,-0.046716850728361126,0.41601501586616996,-0.3821529289757679,-0.13950955103382942,-0.00836577836013568,0.4721412927847794,-0.011892788703834086,-0.18099870860375616,-0.03681272410679839,-0.2591662327620686,-0.40568187557069174,0.3091690179260925,-0.008688685392629021,-0.09928182589562609,0.049713257193583035,0.0465117369780087,-0.03746283863594677,-0.08808708546743976,-0.1284265627227894,-0.005243511126034409,-0.005343635149598006
