,BMXBMI,BMXWAIST,DXDTOBMD,DXDTOPF,DXDTOLE,Avg_Systolic_BP,Avg_Diastolic_BP,BPXPLS,LBXGLU,LBXIN,HOMA_IR,LBXTC,LBDHDD,LBXSTR,TC_HDL_ratio,TG_HDL_ratio,LBXSATSI,LBXSAL,LBXSTP,LBXSTB,LBXSCR,LBXSUA,LBXSBU,LBXSCA,LBXSPH,LBXSNASI,LBXSKSI
TC_HDL_ratio,0.20032396654856874,0.2508979249109654,0.019518914510202916,0.01750568766606632,0.29818969627599773,0.050402594994372975,0.14146411329954414,0.07844974767784221,0.15661378730148703,0.1239303021078266,0.11348478303370328,0.5162589198675035,-0.6338308254533124,0.6183539398739586,1.0,0.6668119650090589,0.21602043134111643,0.036115728563282865,0.09931273673022288,-0.07679046660155596,0.03912272896060284,0.21991760532063123,0.023955235137698195,0.02911720459578934,-0.012289802660109117,-0.05890231763121316,0.022267916188622998
TG_HDL_ratio,0.1393493183175522,0.19153899335072055,0.027869436075575883,-0.03859525393046753,0.2348310913864407,0.03925285857147841,0.07584023528056859,0.08891245613701239,0.22174454953872316,0.14036645263660907,0.15012708333978428,0.19479933431676397,-0.4754911662038202,0.9580560568040307,0.6668119650090589,1.0,0.1957673545801967,0.029179348390947504,0.04790443616303978,-0.07327475232516445,0.05059669537895498,0.19683560711243572,0.08087031260649434,0.011383411301022814,0.010293719972829147,-0.06859747106399869,0.023591777330270885
LBXSATSI,0.11592590185701858,0.15617629099404134,0.02772535470007669,-0.09104990586522603,0.2879047855279954,0.02966214012785849,0.13422669636526563,0.07118008542445783,0.11773606848418723,0.11358631917577522,0.09625863670858777,0.08150560612604897,-0.13922143744520657,0.19478790757815867,0.21602043134111643,0.1957673545801967,1.0,0.13281450601884967,0.1448098532873752,0.1270130922990847,-0.015458246588599484,0.19148121305608734,-0.027090386383469518,0.05583003524217564,-0.03207824861727012,-0.03015975385813644,-0.010510932764291055
LBXSAL,-0.268321862315904,-0.24899335195568859,0.03490725016951849,-0.39418622577604256,0.05021030471012062,-0.07553875374870557,0.05319628075804084,-0.022640941224166967,-0.07587140125623272,-0.17951748533581008,-0.1690138206579721,0.05489750022904424,0.0011183448884352113,0.0251752332980268,0.036115728563282865,0.029179348390947504,0.13281450601884967,1.0,0.39553583329798403,0.23570271000269297,-0.05875441261702652,0.04911308816138421,-0.048055651924080865,0.46934451776133296,0.061989344691200925,-0.023691266850091024,-0.07104639328614959
LBXSTP,-0.04754949606328526,-0.08255438920725768,-0.0236533083684237,-0.05546581987486104,0.012857329113098915,0.023729140301904515,0.1284800409515924,0.1295774332834373,0.007423422059569388,0.023946252600956154,0.004346512009122128,0.10587759386443808,-0.030943891048190023,0.04393018503730248,0.09931273673022288,0.04790443616303978,0.1448098532873752,0.39553583329798403,1.0,0.07415729060779873,-0.01890836322927964,0.11562610121489668,-0.05582832442349383,0.3327505101334466,0.05804929861878067,-0.12224786815652379,-0.10930925269078086
LBXSTB,-0.10646520927212559,-0.059838594153057124,0.10221407695390339,-0.25493405524425244,0.11540475399446161,0.006319398227784665,0.016842762731176644,-0.07722164499209154,0.05868492917693053,-0.08532123583856838,-0.05867021742648186,-0.09678564883815523,0.026047501003058592,-0.09556095580196355,-0.07679046660155596,-0.07327475232516445,0.1270130922990847,0.23570271000269297,0.07415729060779873,1.0,0.04555015886040127,0.12975395131906622,-0.004355892095072836,0.10584227440506831,-0.0780845214956575,0.012648555751696872,-0.006324737496995193
LBXSCR,0.024351214309793836,0.08547395419307698,0.16883329752311832,-0.21539152202390202,0.2698504164322274,0.1445406599804544,0.012629329251502779,-0.07142601746878884,0.014134297335619293,0.028868258183793464,0.027245228305595132,-0.06526777139899945,-0.09191261884855197,0.042876727684863614,0.03912272896060284,0.05059669537895498,-0.015458246588599484,-0.05875441261702652,-0.01890836322927964,0.04555015886040127,1.0,0.2737728616512999,0.5464868331039239,-0.044661530969943464,0.12741039770463405,0.043563794167929555,0.175638411140515
LBXSUA,0.2581055954717444,0.33322926386241086,0.19763897777553946,-0.16863227027762673,0.4899539451331042,0.16657743382109053,0.09184891301952547,-0.033850054858117956,0.0419251771309874,0.1107769677222987,0.08207334667150198,0.03212709361488688,-0.24538217861860404,0.20219865065136464,0.21991760532063123,0.19683560711243572,0.19148121305608734,0.04911308816138421,0.11562610121489668,0.12975395131906622,0.2737728616512999,1.0,0.31103324158954615,0.10746522072631416,-0.0194610574556238,0.050291295187254614,0.09329570813664828
LBXSBU,0.03581268048572124,0.10834099910729411,0.10257780505085767,-0.15165088480728825,0.1650364052695036,0.17352480318112873,-0.10849433301198307,-0.11330734989033407,0.17776754867550315,0.13133668325904924,0.15649916089292049,-0.03275819225553079,-0.05569950690975401,0.08964684393424321,0.023955235137698195,0.08087031260649434,-0.027090386383469518,-0.048055651924080865,-0.05582832442349383,-0.004355892095072836,0.5464868331039239,0.31103324158954615,1.0,0.0579719584519168,0.13305732732583825,0.040311682793261444,0.24939943522309949
LBXSCA,-0.08965173523517796,-0.06322288059130148,-0.0038408730417140375,-0.15818774863810536,0.03028540201790802,0.05217451346597868,-0.0234285110275348,0.04835551415501326,0.054892325255680344,-0.03660839573324858,-0.011958070603422669,0.1484885364406509,0.07065395790632512,0.04688435795880259,0.02911720459578934,0.011383411301022814,0.05583003524217564,0.46934451776133296,0.3327505101334466,0.10584227440506831,-0.044661530969943464,0.10746522072631416,0.0579719584519168,1.0,0.1249249596970895,-0.02310576033103895,0.020505429956992394
LBXSPH,-0.0586960614786635,-0.08458433307264453,0.014615348513815504,-0.050788729033186174,-0.05104629136823102,-0.07220133816155286,-0.06318442146705136,0.0002335741094404668,-0.047513593331154264,-0.005620607693002772,-0.009110961343191204,0.04011879124562514,0.04403512089788828,0.03494408226124078,-0.012289802660109117,0.010293719972829147,-0.03207824861727012,0.061989344691200925,0.05804929861878067,-0.0780845214956575,0.12741039770463405,-0.0194610574556238,0.13305732732583825,0.1249249596970895,1.0,-0.004795013682465598,0.04018246539221593
LBXSNASI,-0.010599333537563085,-0.0049167310278965155,-0.030166633453545116,-0.048183515833935,-0.005436497664919952,0.0766278164971713,0.04282804166788165,-0.09747543058154651,-0.1362582520173045,-0.00436758536710814,-0.0422249915904066,-0.07897172405603016,-0.004270601491551672,-0.08041991518744902,-0.05890231763121316,-0.06859747106399869,-0.03015975385813644,-0.023691266850091024,-0.12224786815652379,0.012648555751696872,0.043563794167929555,0.050291295187254614,0.040311682793261444,-0.02310576033103895,-0.004795013682465598,1.0,0.17390532413444618
LBXSKSI,0.021557945519457687,0.0632686063050887,0.020417891888322746,-0.10180057443428145,0.11043157722770912,0.01731467463641272,-0.07539858292949426,-0.08500793478554997,0.048022585785606045,-0.0067347051515372755,0.007558427679490778,-0.07446162276999856,-0.07854206070012307,0.007355955933626373,0.022267916188622998,0.023591777330270885,-0.010510932764291055,-0.07104639328614959,-0.10930925269078086,-0.006324737496995193,0.175638411140515,0.09329570813664828,0.24939943522309949,0.020505429956992394,0.04018246539221593,0.17390532413444618,1.0
