matrix,cohort,scale,K,model_A,model_B,NMI
B_LOG,B,Log1p,4,Spectral,Hier-Ward,0.34192
B_LOG,B,Log1p,5,K-Means,GMM,0.46333
B_LOG,B,Log1p,5,K-Means,Spectral,0.57543
B_LOG,B,Log1p,5,K-Means,Hier-Ward,0.42891
B_LOG,B,Log1p,5,GMM,Spectral,0.42429
B_LOG,B,Log1p,5,GMM,Hier-Ward,0.41321
B_LOG,B,Log1p,5,Spectral,Hier-Ward,0.44866
B_LOG,B,Log1p,6,K-Means,GMM,0.46903
B_LOG,B,Log1p,6,K-Means,Spectral,0.65882
B_LOG,B,Log1p,6,K-Means,Hier-Ward,0.46433
B_LOG,B,Log1p,6,GMM,Spectral,0.48722
B_LOG,B,Log1p,6,GMM,Hier-Ward,0.44428
B_LOG,B,Log1p,6,Spectral,Hier-Ward,0.46987
B_LOG,B,Log1p,7,K-Means,GMM,0.47529
B_LOG,B,Log1p,7,K-Means,Spectral,0.70439
B_LOG,B,Log1p,7,K-Means,Hier-Ward,0.47339
B_LOG,B,Log1p,7,GMM,Spectral,0.48042
B_LOG,B,Log1p,7,GMM,Hier-Ward,0.41662
B_LOG,B,Log1p,7,Spectral,Hier-Ward,0.47957
