cohort,matrix,scale,model,linkage,K,silhouette,CH,DB,stability_ari_mean,stability_ari_sd,stability_source,min_cluster_prop,max_cluster_prop,max_min_ratio,small_cluster_flag,degeneracy_note
A,A_LOG,Log1p,Spectral,kNN_k10_NJW,3,0.07416,368.04,2.8762,,,NA (not generated),0.2258,0.4357,1.93,False,eigengap_prev=0.02471; eigengap_next=0.01053
A,A_LOG,Log1p,Spectral,kNN_k10_NJW,4,0.07855,326.04,2.6868,,,NA (not generated),0.1325,0.34,2.57,False,eigengap_prev=0.01053; eigengap_next=0.03456
A,A_LOG,Log1p,Spectral,kNN_k10_NJW,5,0.05697,282.58,2.7398,,,NA (not generated),0.1225,0.3124,2.55,False,eigengap_prev=0.03456; eigengap_next=0.00788
A,A_LOG,Log1p,Spectral,kNN_k10_NJW,6,0.04458,244.17,3.0297,,,NA (not generated),0.1071,0.2131,1.99,False,eigengap_prev=0.00788; eigengap_next=0.00944
A,A_LOG,Log1p,Spectral,kNN_k10_NJW,7,0.04624,227.35,2.8112,,,NA (not generated),0.0879,0.1796,2.04,False,eigengap_prev=0.00944; eigengap_next=0.00970
A,A_LOG,Log1p,Hierarchical,Ward,2,0.05516,307.72,3.5655,0.2424,0.0831,"hierarchical_stability (B=100, 80% subsample, participant-overlap ARI)",0.4063,0.5937,1.46,False,
A,A_LOG,Log1p,Hierarchical,Ward,3,0.04999,260.21,3.3524,0.2056,0.0609,"hierarchical_stability (B=100, 80% subsample, participant-overlap ARI)",0.1838,0.4099,2.23,False,
A,A_LOG,Log1p,Hierarchical,Ward,4,0.0524,232.9,3.0945,0.2218,0.0616,"hierarchical_stability (B=100, 80% subsample, participant-overlap ARI)",0.0823,0.4063,4.93,False,
A,A_LOG,Log1p,Hierarchical,Ward,5,0.02569,202.79,3.4838,0.1932,0.039,"hierarchical_stability (B=100, 80% subsample, participant-overlap ARI)",0.0823,0.3275,3.98,False,
A,A_LOG,Log1p,Hierarchical,Ward,6,0.0185,182.81,3.3725,0.1908,0.0354,"hierarchical_stability (B=100, 80% subsample, participant-overlap ARI)",0.0797,0.3275,4.11,False,
A,A_LOG,Log1p,Hierarchical,Ward,7,0.01643,169.3,3.5405,0.1875,0.0223,"hierarchical_stability (B=100, 80% subsample, participant-overlap ARI)",0.0797,0.2559,3.21,False,
A,A_LOG,Log1p,Hierarchical,Complete,2,0.42028,86.79,1.4898,,,excluded — degenerate outlier-peeling,0.0071,0.9929,139.06,True,DEGENERATE: outlier-peeling — high silhouette is artifact
