matrix_name,N,feature_count,K,covariance_type,BIC,AIC,log_likelihood,average_log_likelihood,silhouette,CH,DB,min_cluster_proportion,max_cluster_proportion,cluster_counts,cluster_proportions,mean_max_posterior,median_max_posterior,proportion_max_posterior_ge_0.50,proportion_max_posterior_ge_0.60,proportion_max_posterior_ge_0.70,proportion_max_posterior_ge_0.80,proportion_max_posterior_ge_0.90,mean_entropy,median_entropy,std_entropy,entropy_p5,entropy_p25,entropy_p75,entropy_p95,mean_norm_entropy,median_norm_entropy,convergence_status,n_iter,warnings,random_state,n_init,sklearn_version,runtime_seconds
A_LOG,4482,19,6,full,218274.44035863,210206.98911878967,-103844.49455939484,-23.16923127161866,0.024923237895249122,154.58598418572015,3.9668804933623902,0.04796965640339134,0.26617581436858545,"{""0"": 602, ""1"": 1193, ""2"": 1021, ""3"": 567, ""4"": 215, ""5"": 884}","[0.1343, 0.2662, 0.2278, 0.1265, 0.048, 0.1972]",0.8269351882122119,0.8915883611779609,0.9355198572066042,0.8456046407853637,0.752119589468987,0.6376617581436859,0.4848282016956716,0.4608711544610336,0.4015574839756727,0.37783926570241877,0.0031474054450094514,0.10513782415557002,0.7544450704180364,1.130139227789667,0.25721708877564414,0.22411349897800514,CONVERGED,23,None,42,25,1.4.1.post1,65.57116389274597
A_LOG,4482,19,7,full,219417.50881491826,210004.41439766213,-103533.20719883106,-23.09977849148395,0.02294836770027822,141.7069716986024,3.9025379611641706,0.043284248103525214,0.23828647925033467,"{""0"": 400, ""1"": 794, ""2"": 956, ""3"": 194, ""4"": 552, ""5"": 1068, ""6"": 518}","[0.0892, 0.1772, 0.2133, 0.0433, 0.1232, 0.2383, 0.1156]",0.8127948931301429,0.8811739563905716,0.9190093708165997,0.819723337795627,0.7211066488174922,0.6120035698348951,0.4676483712628291,0.5018096179817644,0.44354764837377125,0.4021607144280112,0.0037999301919865295,0.12719886460065832,0.8080644532303664,1.2162746027372424,0.25787913086602654,0.22793840126128212,CONVERGED,25,None,42,25,1.4.1.post1,71.25327372550964
B_RAW,967,24,2,full,55841.56829084108,52678.21346729189,-25690.106733645945,-26.566811513594565,0.15800351545165625,61.5956783158243,3.458381398161643,0.22233712512926576,0.7776628748707343,"{""0"": 215, ""1"": 752}","[0.2223, 0.7777]",0.9841214289214439,0.9999353022357997,1.0,0.9896587383660806,0.984488107549121,0.9689762150982419,0.9493278179937953,0.04067907025154555,0.0006887563244171242,0.1228357919440738,3.56489994195358e-14,4.871971011354547e-05,0.008904990158099948,0.3273017628865708,0.05868749291987853,0.0009936653336174953,CONVERGED,11,None,42,25,1.4.1.post1,5.057467222213745
B_RAW,967,24,3,full,56656.80352977805,51909.334195206546,-24980.667097603273,-25.833161424615586,0.04729311064615406,61.75335131285164,3.62148597524946,0.15305067218200621,0.45398138572905894,"{""0"": 148, ""1"": 380, ""2"": 439}","[0.1531, 0.393, 0.454]",0.9627149570222701,0.9986937390661214,1.0,0.9896587383660806,0.9669079627714581,0.9317476732161324,0.8790072388831437,0.10111907546527674,0.010230157882345499,0.17546608807264155,7.129799883907154e-14,0.00022334497089237653,0.1165499928795886,0.588984760940295,0.09204254904873428,0.00931189099909661,CONVERGED,36,None,42,25,1.4.1.post1,7.801548719406128
B_RAW,967,24,4,full,57968.781939520566,51637.19809392674,-24519.59904696337,-25.356358890344744,0.04351856811072902,59.92958832993823,3.128716872850903,0.11789038262668046,0.358841778697001,"{""0"": 273, ""1"": 347, ""2"": 233, ""3"": 114}","[0.2823, 0.3588, 0.241, 0.1179]",0.971153804770138,0.9988218847641013,1.0,0.9886246122026887,0.9762150982419855,0.9524301964839711,0.9141675284384695,0.0823139517578764,0.00932073585464238,0.15738289019744095,1.067249536536822e-13,0.0006187677221186751,0.06937273897594189,0.4942295350400345,0.059376964998530825,0.006723489697464257,CONVERGED,22,None,42,25,1.4.1.post1,11.189371109008789
B_RAW,967,24,5,full,59333.673638656,51417.97528203985,-24084.987641019925,-24.90691586455008,0.04327085993320173,54.255261859815825,3.097963069525824,0.07755946225439504,0.281282316442606,"{""0"": 116, ""1"": 272, ""2"": 269, ""3"": 235, ""4"": 75}","[0.12, 0.2813, 0.2782, 0.243, 0.0776]",0.9705192206658423,0.9991643015657521,1.0,0.9906928645294726,0.9751809720785936,0.953464322647363,0.8996897621509824,0.0848614528407909,0.0068205638533871205,0.16404408323532269,7.492967644271853e-11,0.0002033975021895937,0.07480556708077742,0.4729043564171057,0.0527273852474664,0.0042378545955039405,CONVERGED,27,None,42,25,1.4.1.post1,17.531224489212036
B_RAW,967,24,6,full,60888.09941802332,51388.286550384844,-23745.143275192422,-24.555473914366516,0.03413191904318657,45.85412999301506,3.073234621177269,0.02998965873836608,0.2905894519131334,"{""0"": 104, ""1"": 94, ""2"": 281, ""3"": 29, ""4"": 224, ""5"": 235}","[0.1075, 0.0972, 0.2906, 0.03, 0.2316, 0.243]",0.9685695050525718,0.9990151679290203,0.9979317476732161,0.9793174767321613,0.9669079627714581,0.9513960703205792,0.9141675284384695,0.08791413199473033,0.007939445109457788,0.1725404027589381,4.246427201102073e-12,0.00011664828266291454,0.08622724236137724,0.49559067987666666,0.049065811290288,0.004431088684508722,CONVERGED,39,None,42,25,1.4.1.post1,21.137296676635742
B_RAW,967,24,7,full,60893.45442712937,49809.527048468575,-22630.763524234288,-23.403064657946523,0.03257714093364766,47.30664745632915,3.1817964600896786,0.010341261633919338,0.2295760082730093,"{""0"": 89, ""1"": 219, ""2"": 222, ""3"": 76, ""4"": 172, ""5"": 10, ""6"": 179}","[0.092, 0.2265, 0.2296, 0.0786, 0.1779, 0.0103, 0.1851]",0.9784104657132634,0.9992526273373921,0.9979317476732161,0.9958634953464323,0.9896587383660806,0.9731127197518097,0.9307135470527405,0.06815113734135558,0.006152433836380948,0.14032742636044512,1.5437417430700643e-10,0.00022267404211395557,0.05660996571759806,0.40126259120057184,0.03502275651033585,0.003161725550055735,CONVERGED,24,None,42,25,1.4.1.post1,25.36485004425049
B_LOG,967,24,2,full,57802.19111444034,54638.83629089115,-26670.418145445576,-27.58057719280825,0.11162075608787411,60.63290362669221,3.6326054965348633,0.27197518097207857,0.7280248190279214,"{""0"": 263, ""1"": 704}","[0.272, 0.728]",0.963180401915943,0.9982207450442142,1.0,0.983453981385729,0.9576008273009308,0.9389865563598759,0.8883143743536711,0.09700446800980504,0.013043131657822227,0.1714569830406432,5.52184942458825e-12,0.0007191938466891931,0.10087337667967641,0.5732700231885688,0.13994786494181782,0.01881726136040197,CONVERGED,19,None,42,25,1.4.1.post1,6.360498666763306
B_LOG,967,24,3,full,59066.975251255135,54319.50591668363,-26185.752958341815,-27.079372242339,0.07912723105602702,77.4640841570076,2.967435100539697,0.1923474663908997,0.4136504653567735,"{""0"": 400, ""1"": 186, ""2"": 381}","[0.4137, 0.1923, 0.394]",0.9747251569124029,0.9990725561066082,1.0,0.9875904860392968,0.9762150982419855,0.9617373319544984,0.9338159255429163,0.072807975841639,0.007483402500964072,0.14971369980724403,2.3388743613526874e-10,0.0008151207477839653,0.06126647567650878,0.4376871039861344,0.06627267562235895,0.006811686505014877,CONVERGED,18,None,42,25,1.4.1.post1,8.614641904830933
B_LOG,967,24,4,full,60575.09402961244,54243.51018401861,-25822.755092009305,-26.703986651509105,0.0690735298562424,72.88920717467731,2.990300335988611,0.14167528438469493,0.3557394002068252,"{""0"": 137, ""1"": 287, ""2"": 344, ""3"": 199}","[0.1417, 0.2968, 0.3557, 0.2058]",0.969944287335418,0.998707143951162,0.9979317476732161,0.9865563598759048,0.9772492244053774,0.9576008273009308,0.9069286452947259,0.08766562472778518,0.010014982221821237,0.1654864615378083,9.95002455841923e-08,0.0004960188954102622,0.0786211456357319,0.47551453872567706,0.06323738102560428,0.007224282593006316,CONVERGED,18,None,42,25,1.4.1.post1,11.900644540786743
B_LOG,967,24,5,full,61952.88514257784,54037.18678596169,-25394.593392980845,-26.261213436381432,0.060092091533049834,59.38445798269117,3.2560165895468396,0.08686659772492245,0.3619441571871768,"{""0"": 84, ""1"": 256, ""2"": 88, ""3"": 350, ""4"": 189}","[0.0869, 0.2647, 0.091, 0.3619, 0.1954]",0.9734606474245514,0.9992204677827863,0.9979317476732161,0.9906928645294726,0.9731127197518097,0.954498448810755,0.9234746639089969,0.07482250083678577,0.006624957469529563,0.15919371347169445,7.496894137328576e-07,0.00037240450789939367,0.05093974166337516,0.487788872949952,0.046489833661010796,0.004116317515790362,CONVERGED,25,None,42,25,1.4.1.post1,16.37533211708069
B_LOG,967,24,6,full,63586.42863736972,54086.615769731245,-25094.307884865622,-25.95068033595204,0.058165125309520074,56.63645402823374,3.0404313819867035,0.055842812823164424,0.3019648397104447,"{""0"": 54, ""1"": 115, ""2"": 77, ""3"": 292, ""4"": 258, ""5"": 171}","[0.0558, 0.1189, 0.0796, 0.302, 0.2668, 0.1768]",0.9780438398868393,0.9995808683373153,1.0,0.9896587383660806,0.9813857290589452,0.9669079627714581,0.9358841778697001,0.06527171976155509,0.0039642132609120665,0.14788915628475555,1.1859252790126026e-07,0.00016957987939798282,0.04326410299562011,0.403127002978844,0.03642884041219894,0.0022124695468303964,CONVERGED,26,None,42,25,1.4.1.post1,20.825053930282593
B_LOG,967,24,7,full,65254.808388065314,54170.88100940452,-24811.44050470226,-25.658159777354975,0.04811170813736313,52.84599442804395,3.003861698336696,0.04239917269906929,0.27094105480868663,"{""0"": 202, ""1"": 262, ""2"": 106, ""3"": 111, ""4"": 41, ""5"": 64, ""6"": 181}","[0.2089, 0.2709, 0.1096, 0.1148, 0.0424, 0.0662, 0.1872]",0.9786805539720035,0.9992415432916844,0.9989658738366081,0.9958634953464323,0.9886246122026887,0.9741468459152016,0.9400206825232679,0.06899409755197237,0.006354525752291716,0.13732546345069827,4.532673666709413e-09,0.00023241199917734248,0.06430408811267824,0.3922132186817282,0.03545595236525548,0.0032655802506486057,CONVERGED,38,None,42,25,1.4.1.post1,26.476042985916138
