SEQN,ward_K2,ward_K3,ward_K4,ward_K5,ward_K6,ward_K7,complete_K2,complete_K3,complete_K4,complete_K5,complete_K6,complete_K7,average_K2,average_K3,average_K4,average_K5,average_K6,average_K7
97782.0,0,1,1,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0
97783.0,1,0,3,1,0,6,0,0,1,0,0,2,0,0,0,0,0,0
97787.0,0,2,2,2,2,0,0,0,1,0,0,2,0,0,0,0,0,0
97794.0,0,1,1,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0
97827.0,0,1,1,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0
97851.0,0,2,2,2,2,0,0,0,1,0,0,2,0,0,0,0,0,0
97876.0,1,0,3,1,0,6,0,0,1,0,0,2,0,0,0,0,0,0
97878.0,0,2,2,2,2,0,0,0,1,0,0,2,0,0,0,0,0,0
97896.0,0,1,1,0,5,5,0,0,1,0,0,2,0,0,0,0,0,0
97897.0,1,0,3,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0
97928.0,0,2,2,2,2,0,0,0,1,0,0,2,0,0,0,0,0,0
97934.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
97940.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
97951.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
97952.0,1,0,0,3,1,1,0,0,1,0,0,2,0,0,0,0,0,0
97963.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
97974.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
97986.0,1,0,3,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0
98018.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
98030.0,0,1,1,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0
98033.0,0,2,2,2,2,0,0,0,1,0,0,2,0,0,0,0,0,0
98035.0,0,1,1,0,3,3,0,0,1,0,0,2,0,0,0,0,0,0
98046.0,1,0,3,1,0,6,0,0,1,0,0,2,0,0,0,0,0,0
98056.0,1,0,3,1,0,6,0,0,1,0,0,2,0,0,0,0,0,0
98082.0,1,0,0,4,4,4,0,0,1,0,0,0,0,0,0,0,0,0
98088.0,0,2,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
98092.0,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0
